frame_index,cx,cy,w,h
0,340,585,176,25
1,890,716,161,19
2,917,725,158,24
3,940,746,145,30
4,962,767,134,39
5,978,786,116,47
6,623,890,114,36
7,636,909,112,40
8,636,917,114,41
9,626,912,125,40
10,605,895,122,35
11,575,870,126,31
12,944,812,134,35
13,910,822,177,24
14,884,826,187,20
15,0,0,0,0
16,819,823,189,54
17,786,817,183,72
18,742,807,178,90
19,697,798,170,105
20,664,793,162,119
21,637,790,159,129
22,623,795,158,135
23,616,805,161,135
24,620,822,161,131
25,636,847,169,124
26,664,877,187,117
27,703,914,205,105
28,0,0,0,0
29,0,0,0,0
30,0,0,0,0
31,0,0,0,0
32,0,0,0,0
33,0,0,0,0
34,0,0,0,0
35,0,0,0,0
36,0,0,0,0
37,0,0,0,0
38,0,0,0,0
39,0,0,0,0
40,0,0,0,0
41,0,0,0,0
42,0,0,0,0
43,0,0,0,0
44,0,0,0,0
45,0,0,0,0
46,0,0,0,0
47,0,0,0,0
48,0,0,0,0
49,0,0,0,0
50,0,0,0,0
51,0,0,0,0
52,0,0,0,0
53,0,0,0,0
54,0,0,0,0
55,0,0,0,0
56,0,0,0,0
57,0,0,0,0
58,0,0,0,0
